Group,Duration,Members,Notable singles,Platinum-certified albums[13]
Generation 2,"""TTL (Time to Love)"" (2009)
""Bo Peep Bo Peep"" (2009)[f][b]
""Like the First Time"" (2009)
""You Drive Me Crazy"" (2010)[a]
""What's Wrong"" (2010)[b]
""Yayaya"" (2010)[b][c]
""Roly-Poly"" (2011)[e]
""Cry Cry"" (2011)[a]
""We Were in Love"" (2011)[a]
""Lovey-Dovey"" (2012)[a]
""Day by Day"" (2012)[b]
""Sexy Love"" (2012)[e]
""Bunny Style!"" (2013)[c]
""Number Nine"" (2013)[b]
""Lead the Way"" (2014)[c]
""La'boon"" (2014)[c]"
Generation 2,Funky Town (2012)[12]
Generation 2,Wonder Girls
Generation 2,2007–17
Generation 2,"Ye-eun
Sunmi
Yubin
Hyerim
So-hee
Sunye
Hyuna"
Generation 2,"""Tell Me"" (2007)
""So Hot"" (2008)
""Nobody"" (2008)
""2 Different Tears"" (2010)[a]
""Be My Baby"" (2011)[a]
""The DJ Is Mine"" (2012)[b]
""Like This"" (2012)[b]
""I Feel You"" (2015)[b]
""Why So Lonely"" (2016)[a]"
Generation 2,The Wonder Years (2007)
Generation 3,Group
Generation 3,Duration
Generation 3,Members / sub-units
Generation 3,Notable singles
Generation 3,Platinum-certified albums[13]
Generation 3,AOA
Generation 3,2012–19
Generation 3,"Hyejeong
Seolhyun
Chanmi
Yuna (former)
Choa (former)
Youkyung (former)
Mina (former)
Jimin (former)


AOA Black
AOA White
AOA Cream"
Generation 3,"""Short Hair"" (2014)[b]
""Like a Cat"" (2014)[b]
""Heart Attack"" (2015)[b]
""Give Me the Love"" (2016)[c]
""Good Luck"" (2016)[b]
""Bingle Bangle"" (2018)[b]"
Generation 3,
Generation 3,Blackpink
Generation 3,Since 2016
Generation 3,"Jisoo
Jennie
Rosé
Lisa"
Generation 3,"""Whistle"" (2016)[a]
""Boombayah"" (2016)[b][h]
""Playing with Fire"" (2016)[b]
""Stay"" (2016)[b]
""As If It's Your Last"" (2017)[b][h]
""Ddu-Du Ddu-Du"" (2018)[a][c][i]
""Kiss and Make Up"" (2018)[j]
""Kill This Love"" (2019)[b][k]
""How You Like That"" (2020)[a][l]
""Ice Cream"" (2020)[m][n]
""Lovesick Girls"" (2020)[m][o]
""Pink Venom"" (2022)[p][b][q]
""Shut Down"" (2022)[p][b][q]"
Generation 3,"Square Up (2018)
Kill This Love (2019)
How You Like That (2020)
The Album (2020)
Born Pink (2022)"
Generation 3,EXID
Generation 3,"2012–20
2022"
Generation 3,"Solji
Elly
Hani
Hyelin
Jeonghwa
Dami (former)
Yuji (former)
Haeryung (former)

SoljiHani"
Generation 3,"""Up & Down"" (2014)[a]
""Ah Yeah"" (2015)[b]
""Hot Pink"" (2015)[b]
""L.I.E."" (2016)[b]
""Night Rather than Day"" (2017)[b]
""DDD"" (2017)[b]"
Generation 3,
Generation 3,GFriend
Generation 3,2015–21
Generation 3,"Sowon
Yerin
Eunha
Yuju
SinB
Umji"
Generation 3,"""Me Gustas Tu"" (2015)[b]
""Rough"" (2016)[a]
""Navillera"" (2016)[a]
""Fingertip"" (2017)[b]
""Love Whisper"" (2017)[b]
""Time for the Moon Night"" (2018)[b]
""Memoria"" (2018)[c]
""Flower"" (2019)[c]"
Generation 3,
Generation 3,I.O.I
Generation 3,2016–17
Generation 3,"Nayoung
Chungha
Sejeong
Chaeyeon
Jieqiong
Sohye
Yeonjung
Yoojung
Mina
Doyeon
Somi"
Generation 3,"""Dream Girls"" (2016)[b]
""Whatta Man"" (2016)[b]
""Very Very Very"" (2016)[a]
""Downpour"" (2017)[b]"
Generation 3,
Generation 3,Mamamoo
Generation 3,Since 2014
Generation 3,"Solar
Moonbyul
Wheein
Hwasa

Mamamoo+"
Generation 3,"""Peppermint Chocolate"" (2014)[b]
""Um Oh Ah Yeh"" (2015)[b]
""I Miss You"" (2016)[b]
""Taller Than You"" (2016)[b]
""You're the Best"" (2016)[a]
""New York"" (2016)[b]
""Décalcomanie"" (2016)[b]
""Yes I Am"" (2017)[b]
""Starry Night"" (2018)[b]
""Rainy Season"" (2018)[b]
""Egotistic"" (2018)[b]
""Wind Flower"" (2018)[b]
""Gogobebe"" (2019)[b]
""Hip"" (2019)[b]
""Dingga"" (2020)[b]"
Generation 3,
Generation 3,Momoland
Generation 3,2016–23
Generation 3,"Hyebin
Yeonwoo
Jane
Taeha
Nayun
JooE
Ahin
Daisy
Nancy"
Generation 3,"""Bboom Bboom"" (2018)[b][r][c]
""Baam"" (2018)[s][c]
""I'm So Hot"" (2019)[c]"
Generation 3,
Generation 3,Oh My Girl
Generation 3,Since 2015
Generation 3,"Hyojung
Mimi
YooA
Seunghee
Yubin
Arin
JinE (former)
Jiho (former)


Oh My Girl Banhana"
Generation 3,"""Secret Garden"" (2018)[s]
""Nonstop"" (2020)[b][r]
""Dolphin"" (2020)[b][r]
""Dun Dun Dance"" (2021)[a][r]"
Generation 3,
Generation 3,Red Velvet
Generation 3,Since 2014
Generation 3,"Irene
Seulgi
Wendy
Joy
Yeri

Red Velvet – Irene & Seulgi"
Generation 3,"""Happiness"" (2014)[b]
""Ice Cream Cake"" (2015)[b]
""Dumb Dumb"" (2015)[b]
""One of These Nights"" (2016)[b]
""Russian Roulette"" (2016)[b]
""Rookie"" (2017)[b]
""Red Flavor"" (2017)[a]
""Peek-a-Boo"" (2017)[b]
""Bad Boy"" (2018)[b][r]
""Power Up"" (2018)[a][r]
""RBB (Really Bad Boy)"" (2018)[b]
""Psycho"" (2019)[b][r]
""Queendom"" (2021)[b]
""Feel My Rhythm"" (2022)[b]"
Generation 3,"The ReVe Festival: Day 1 (2019)
The ReVe Festival: Finale (2019)
Queendom (2021)
The ReVe Festival 2022 – Feel My Rhythm (2022)
The ReVe Festival 2022 – Birthday (2022)
Chill Kill (2023)"
Generation 3,Twice
Generation 3,Since 2015
Generation 3,"Nayeon
Jeongyeon
Momo
Sana
Jihyo
Mina
Dahyun
Chaeyoung
Tzuyu

MiSaMo"
Generation 3,"""Like Ooh-Ahh"" (2015)[b][h]
""Cheer Up"" (2016)[a][h]
""TT"" (2016)[a][h]
""Knock Knock"" (2017)[a][t]
""Signal"" (2017)[a][h]
""One More Time"" (2017)[f][u]
""Likey"" (2017)[a][h]
""Heart Shaker"" (2017)[a][h]
""Candy Pop"" (2018)[f][h]
""What Is Love?"" (2018)[a][v]
""Wake Me Up"" (2018)[f][u]
""Dance the Night Away"" (2018)[a][r][h]
""Yes or Yes"" (2018)[a][v]
""Fancy"" (2019)[b][v]
""Happy Happy"" (2019)[c][u]
""Breakthrough"" (2019)[c][u]
""Feel Special"" (2019)[b][u]
""More & More"" (2020)[b][u]
""Fanfare"" (2020)[f][u]
""I Can't Stop Me"" (2020)[b][w]
""Better"" (2020)[c][h]
""Cry for Me"" (2020)[h]
""Kura Kura"" (2021)[c][h]
""Alcohol-Free"" (2021)[b][h]
""Perfect World"" (2021)[h]
""The Feels"" (2021)[w]
""Scientist"" (2021)[h]
""Doughnut"" (2021)[c][h]
""Celebrate"" (2022)[h]
""Talk That Talk"" (2022)[u]
""Moonlight Sunrise"" (2023)[h]
""Hare Hare"" (2023)[c][h]"
Generation 3,"What Is Love? (2018)
Summer Nights (2018)
Yes or Yes (2018)
The Year of ""Yes"" (2018)
Fancy You (2019)
Feel Special (2019)
More & More (2020)
Eyes Wide Open (2020)
Taste of Love (2021)
Formula of Love: O+T=＜3 (2021)
Between 1&2 (2022)
Ready to Be (2023)"
Generation 4,Group
Generation 4,Duration
Generation 4,Members
Generation 4,Notable singles
Generation 4,Platinum-certified albums[13]
Generation 4,(G)I-dle
Generation 4,Since 2018
Generation 4,"Miyeon
Minnie
Soyeon
Yuqi
Shuhua
Soojin (former)"
Generation 4,"""Hann (Alone)"" (2018)[b]
""Dumdi Dumdi"" (2020)[b]
""Hwaa"" (2021)[b]
""Tomboy"" (2022)[a][r]
""Nxde"" (2022)[a]
""Queencard"" (2023)[a]"
Generation 4,"I Burn (2021)
I Never Die (2022)
I Love (2022)
I Feel (2023)"
Generation 4,Aespa
Generation 4,Since 2020
Generation 4,"Karina
Giselle
Winter
Ningning"
Generation 4,"""Next Level"" (2021)[b][r]
""Savage"" (2021)[b]
""Dreams Come True"" (2021)[b]
""Girls"" (2022)[b]
""Spicy"" (2023)[b]
""Drama"" (2023)[b]"
Generation 4,"Savage (2021)
Girls (2022)
My World (2023)
Drama (2023)"
Generation 4,Itzy
Generation 4,Since 2019
Generation 4,"Yeji
Lia
Ryujin
Chaeryeong
Yuna"
Generation 4,"""Dalla Dalla"" (2019)[b][r]
""Icy"" (2019)[b][t]
""Wannabe"" (2020)[b][z]
""Not Shy"" (2020)[b][h]
""In the Morning"" (2021)[b]
""Voltage"" (2022)[c]
""Sneakers"" (2022)[b]
""Blah Blah Blah"" (2022)[c]"
Generation 4,"Not Shy (2020)
Guess Who (2021)
Crazy in Love (2021)
Checkmate (2022)
Cheshire (2022)
Kill My Doubt (2023)"
Generation 4,Ive
Generation 4,Since 2021
Generation 4,"Gaeul
Yujin
Rei
Wonyoung
Liz
Leeseo"
Generation 4,"""Eleven"" (2021)[b][h]
""Love Dive"" (2022)[a][r]
""After Like"" (2022)[a]
""Kitsch"" (2023)[a]
""I Am"" (2023)[a]
""Either Way"" (2023)[b]
""Baddie"" (2023)[a]"
Generation 4,"Eleven (2021)
Love Dive (2022)
After Like (2022)
I've Ive (2023)
I've Mine (2023)"
Generation 4,Iz*One
Generation 4,2018–21
Generation 4,"Eunbi
Sakura
Hyewon
Yena
Chaeyeon
Chaewon
Minju
Nako
Hitomi
Yuri
Yujin
Wonyoung"
Generation 4,"""Suki to Iwasetai"" (2019)[c]
""Bueno Aires"" (2019)[f]
""Vampire"" (2019)[f]
""Fiesta"" (2020)[b]
""Secret Story of the Swan"" (2020)[b]"
Generation 4,"Color*Iz (2018)
Heart*Iz (2019)
Bloom*Iz (2020)
Oneiric Diary (2020)
One-reeler / Act IV (2020)"
Generation 4,Kep1er
Generation 4,2022–24
Generation 4,"Yujin
Xiaoting
Mashiro
Chaehyun
Dayeon
Hikaru
Huening Bahiyyih
Youngeun
Yeseo"
Generation 4,"""Wing Wing"" (2022)[c]
""I Do! Do You?"" (2023)[c]
""Grand Prix"" (2023)[c]"
Generation 4,"First Impact (2022)
Doublast (2022)
Troubleshooter (2022)"
Generation 4,Le Sserafim
Generation 4,Since 2022
Generation 4,"Sakura Miyawaki
Kim Chae-won
Huh Yun-jin
Kazuha
Hong Eun-chae
Kim Ga-ram (former)"
Generation 4,"""Fearless"" (2022)[b]
""Antifragile"" (2022)[b]
""Unforgiven"" (2023)[b]
""Eve, Psyche & the Bluebeard's Wife"" (2023)[b]
""Perfect Night"" (2023)[a]"
Generation 4,"Fearless (2022)
Antifragile (2022)
Unforgiven (2023)"
Generation 4,NewJeans
Generation 4,Since 2022
Generation 4,"Minji
Hanni
Danielle
Haerin
Hyein"
Generation 4,"""Attention"" (2022)[a]
""Hype Boy"" (2022)[b]
""Cookie"" (2022)[b]
""Ditto"" (2022)[a][aa]
""OMG"" (2023)[m]
""Super Shy"" (2023)[a]
""New Jeans"" (2023)[b]
""ETA"" (2023)[b]"
Generation 4,"New Jeans (2022)
OMG (2023)
Get Up (2023)"
Generation 4,Nmixx
Generation 4,Since 2022
Generation 4,"Lily
Haewon
Sullyoon
Bae
Jiwoo
Kyujin
Jinni (former)"
Generation 4,
Generation 4,"Ad Mare (2022)
Entwurf (2022)
Expérgo (2023)
A Midsummer Nmixx's Dream (2023)"
Generation 4,STAYC
Generation 4,Since 2020
Generation 4,"Sumin
Sieun
Isa
Seeun
Yoon
J"
Generation 4,"""ASAP"" (2021)[b]
""Run2U"" (2022)[b]
""Teddy Bear"" (2023)[b]
""Lit"" (2023)[c]"
Generation 4,"Young-Luv.com (2022)
We Need Love (2022)
Teddy Bear (2023)
Teenfresh (2023)"
